sample_id,1_ratio,1_ratio_peak_temp,1_ratio_peak_abund,1_ratio_meanstd_abund,2_ratio,2_ratio_peak_temp,2_ratio_peak_abund,2_ratio_meanstd_abund,3_ratio,3_ratio_peak_temp,3_ratio_peak_abund,3_ratio_meanstd_abund,4_ratio,4_ratio_peak_temp,4_ratio_peak_abund,4_ratio_meanstd_abund,5_ratio,5_ratio_peak_temp,5_ratio_peak_abund,5_ratio_meanstd_abund
S0000,18.0,103.666,1.0,0.3801207130637072,17.0,103.666,0.2766750502759851,0.105219528727554,16.0,103.666,0.0245631424941354,0.0097364371355653,28.0,35.42,0.0108765405919402,0.0091009381881367,19.0,105.458,0.0065995294361221,0.0028408819406441
S0001,44.0,497.404,1.0,0.2183788466643552,2.0,-60.37,0.0616582833035858,0.0286889151691947,32.0,-60.37,0.0332089350424576,0.0240064559987818,16.0,497.404,0.093082373303045,0.0205851996642184,18.0,-60.37,0.0302341933041267,0.019214458105402
S0002,18.0,145.673,1.0,0.3444213421254897,17.0,145.673,0.2540018280819722,0.0877697036142717,32.0,545.304,0.2947383431708855,0.0758501195661661,16.0,545.304,0.0404462715652969,0.0130119683553988,1.0,145.673,0.0040032076818752,0.0018006536671773
S0003,18.0,120.72,1.0,0.2378341865648756,44.0,593.222,0.485556538632149,0.1473482512767331,17.0,120.72,0.2600265334990377,0.0619563208286913,28.0,593.222,0.0817012164099102,0.0316060692051094,16.0,593.222,0.0830770188515996,0.0283751998067313
S0004,18.0,142.874,1.0,0.3442135363109968,32.0,471.733,0.5956520140779313,0.1642831973568716,17.0,142.874,0.2382899769114063,0.0822935628719297,16.0,471.733,0.0847319964524015,0.026217816205966,44.0,333.273,0.0299978368849089,0.0133775214601282
S0005,18.0,148.794,1.0,0.2566888287904637,44.0,699.335,0.5846213240452637,0.1986031428940957,28.0,516.2,0.8391046636745826,0.1606699228814347,17.0,148.794,0.2583234367475555,0.0663434745620699,16.0,699.335,0.1003870644266851,0.0368731500647928
S0006,18.0,170.208,1.0,0.661008378304766,32.0,201.951,0.8104116506093728,0.5230327738736853,28.0,262.465,0.3179769583455968,0.2296222292754896,1.0,392.535,0.2638620479343002,0.1960895566806872,17.0,205.126,0.2675178450485974,0.1697105987702831
S0007,32.0,430.68,1.0,0.1460231356072648,18.0,308.342,0.038559908935247,0.0293783273104357,16.0,430.68,0.0775522045651463,0.0116702796605842,17.0,305.19,0.0088755339488572,0.006704478219182,1.0,430.68,0.0151761769381801,0.0042606884640109
S0008,2.0,27.364,0.8010171646535279,0.3873915098562613,18.0,18.642,1.0,0.2898202862901449,28.0,-60.029,0.336935791481246,0.2819907610324483,17.0,18.642,0.3235855054036871,0.0966922895220972,32.0,27.364,0.1163382072472981,0.0668591550932665
S0009,18.0,155.337,0.8973594195016531,0.4705056424418428,32.0,460.019,1.0,0.431926243710352,28.0,43.129,0.1753669858262612,0.1323492044329738,17.0,152.144,0.2251245867384179,0.1147653132158469,1.0,504.556,0.1079894853849715,0.0781077375544263
S0010,18.0,384.31,1.0,0.2825101281553596,64.0,867.729,0.4526463679964102,0.2035486583949295,48.0,867.729,0.4406515403017874,0.1972046387899085,32.0,867.729,0.395402895381055,0.1765481897776824,17.0,384.31,0.2799029141590028,0.0793891844369405
S0011,18.0,511.202,1.0,0.7393533750168897,44.0,346.468,0.6419299935277674,0.3125641558058505,32.0,508.083,0.319608205896595,0.2580277825811172,17.0,514.387,0.2660930894736738,0.1960012156552504,28.0,654.662,0.2067022356008362,0.138358540593712
S0012,18.0,115.205,1.0,0.3817356830325604,32.0,252.814,0.9390110997929784,0.266393146265653,17.0,115.205,0.2354787391508097,0.0907003566966404,28.0,259.238,0.1318227756211351,0.0646006747315499,16.0,252.814,0.135673544028391,0.041181572284027
S0013,18.0,176.557,1.0,0.4621265490626222,32.0,441.305,0.4133899937120537,0.2206695434294571,17.0,176.557,0.2385258043170633,0.1113137721045055,64.0,526.636,0.1386324297477231,0.0417498360604765,48.0,526.636,0.1087855812621387,0.0334330608674204
S0014,18.0,136.289,0.508005261155395,0.2582077835056228,32.0,331.716,1.0,0.1627157772076587,17.0,133.106,0.121625651425058,0.0622873084282973,16.0,331.716,0.1456085236184875,0.0291615168125596,44.0,331.716,0.0572396775604438,0.0236516087026863
S0015,18.0,231.808,1.0,0.4569053420960516,17.0,235.048,0.2377076700615879,0.1087998407540263,32.0,251.123,0.1074229126537369,0.0668206300845575,1.0,260.735,0.0321970725193809,0.0211894025421301,16.0,244.654,0.0313951467239065,0.0165483324507084
S0016,18.0,180.578,1.0,0.5775770197274537,17.0,180.578,0.2354279803327875,0.1362251355697376,32.0,463.58,0.2486401028646269,0.0767410572032394,44.0,739.958,0.0808630496925869,0.0454608723710712,1.0,186.912,0.0424109454591226,0.029838058884944
S0017,18.0,31.47,1.0,0.6768788637224921,32.0,43.817,0.2694450790717758,0.1883405126865333,17.0,30.329,0.2690604530653335,0.1740057718267216,28.0,972.904,0.16377937731761,0.0882700167137054,16.0,30.83,0.0788571184683248,0.0465147717990699
S0018,18.0,706.154,1.0,0.7412306025380465,32.0,702.956,0.224662046970892,0.1871788059381358,17.0,712.411,0.2410686313860814,0.1788681832993368,16.0,643.578,0.0733510901774165,0.0574381954559533,44.0,1007.454,0.0567126664533649,0.0315066569221522
S0019,18.0,265.812,1.0,0.4723630961134092,17.0,265.812,0.2389059691422009,0.1130283894381197,64.0,677.301,0.1442576128049805,0.0567961461231028,48.0,680.404,0.107338583654326,0.042504246341482,32.0,683.515,0.0554848050536717,0.0288054824400983
S0020,28.0,524.364,1.0,0.2427503377165019,18.0,156.925,0.7581951960872668,0.2252816616311505,44.0,699.585,0.4439902702687239,0.1855076488559383,17.0,156.925,0.1765376178990473,0.0525859008908373,16.0,696.516,0.0548195692101037,0.0240973165567667
S0021,18.0,372.346,1.0,0.9084794136127028,17.0,356.045,0.2722058435872342,0.2403432303953545,32.0,62.659,0.3011968355063222,0.2233770438514868,28.0,62.676,0.323784908964753,0.1747319124592533,44.0,437.705,0.1177565848677573,0.0763125746849247
S0022,18.0,222.478,1.0,0.8085622691203009,32.0,1000.729,0.5464862842845175,0.4203156246522275,17.0,254.587,0.2633611089374973,0.2090770579010177,28.0,908.697,0.2469382263183716,0.1646190033405519,1.0,391.813,0.1220300747574725,0.0862653169227285
S0023,32.0,401.101,1.0,0.429736144372322,18.0,160.469,0.8202570679662958,0.3622246867055139,17.0,160.469,0.1934995644343515,0.0857469419218839,44.0,288.842,0.2091272088621685,0.0765660683361471,16.0,295.26,0.1377926610862985,0.0655554174180356
S0024,18.0,125.237,1.0,0.5975565984985045,17.0,125.237,0.2586612610453652,0.1551229559139747,32.0,484.778,0.2573892477820819,0.1253190902713522,16.0,487.911,0.05537623365254,0.031720270590192,28.0,320.946,0.0149484399483111,0.0086498386112204
S0025,28.0,764.767,0.836420341439696,0.5312869308154684,44.0,752.143,1.0,0.4735992531868522,32.0,850.496,0.4684441233874706,0.2817273344945517,16.0,758.318,0.2514628801708232,0.1351110048165403,18.0,828.046,0.1323167178441686,0.0944037927004108
S0026,18.0,248.245,1.0,0.5958128737228545,32.0,311.978,0.534630528498459,0.2533883529766152,17.0,241.836,0.2649919160769055,0.1571689680515988,44.0,678.823,0.3162056203514882,0.1318122876400068,16.0,308.769,0.0989302464409511,0.0584230750606432
S0027,18.0,509.08,1.0,0.5658537012243969,32.0,512.256,0.4045174253016416,0.2636483311613494,17.0,515.411,0.245685277820931,0.1457112279831779,28.0,266.108,0.0876362694837139,0.0638283617248893,16.0,515.411,0.0961435658433017,0.0620819230278261
