sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide,1_ratio,1_ratio_peak_temp,1_ratio_peak_abund,1_ratio_meanstd_abund,2_ratio,2_ratio_peak_temp,2_ratio_peak_abund,2_ratio_meanstd_abund,3_ratio,3_ratio_peak_temp,3_ratio_peak_abund,3_ratio_meanstd_abund,4_ratio,4_ratio_peak_temp,4_ratio_peak_abund,4_ratio_meanstd_abund,5_ratio,5_ratio_peak_temp,5_ratio_peak_abund,5_ratio_meanstd_abund
S0000,0,0,0,0,0,0,0,0,1,0,18.0,103.666,1.0,0.3801207130637072,17.0,103.666,0.27667505027598516,0.10521952872755405,16.0,103.666,0.024563142494135416,0.009736437135565316,28.0,35.42,0.010876540591940246,0.009100938188136756,19.0,105.458,0.006599529436122128,0.0028408819406441433
S0001,0,1,0,0,0,0,0,0,0,0,44.0,497.404,1.0,0.21837884666435525,2.0,-60.37,0.061658283303585894,0.02868891516919473,32.0,-60.37,0.03320893504245767,0.02400645599878182,16.0,497.404,0.09308237330304506,0.020585199664218484,18.0,-60.37,0.030234193304126782,0.019214458105402073
S0002,0,0,0,0,0,1,0,0,0,0,18.0,145.673,1.0,0.34442134212548975,17.0,145.673,0.25400182808197225,0.08776970361427172,32.0,545.304,0.29473834317088554,0.07585011956616616,16.0,545.304,0.04044627156529694,0.013011968355398803,1.0,145.673,0.004003207681875227,0.0018006536671773218
S0003,0,1,0,1,0,0,0,0,1,0,18.0,120.72,1.0,0.2378341865648756,44.0,593.222,0.485556538632149,0.14734825127673318,17.0,120.72,0.2600265334990377,0.061956320828691354,28.0,593.222,0.08170121640991021,0.03160606920510943,16.0,593.222,0.08307701885159967,0.028375199806731366
S0004,0,0,0,1,0,1,1,0,0,0,18.0,142.874,0.9999999999999999,0.3442135363109968,32.0,471.733,0.5956520140779313,0.1642831973568716,17.0,142.874,0.23828997691140635,0.08229356287192971,16.0,471.733,0.08473199645240155,0.02621781620596605,44.0,333.273,0.029997836884908945,0.013377521460128203
S0005,0,0,0,0,1,0,0,0,0,0,18.0,148.794,0.9999999999999999,0.2566888287904637,44.0,699.335,0.5846213240452637,0.19860314289409575,28.0,516.2,0.8391046636745826,0.16066992288143472,17.0,148.794,0.2583234367475555,0.06634347456206996,16.0,699.335,0.1003870644266851,0.03687315006479287
S0006,0,0,1,0,0,0,1,0,0,0,18.0,170.208,0.9999999999999999,0.661008378304766,32.0,201.951,0.8104116506093728,0.5230327738736853,28.0,262.465,0.31797695834559686,0.2296222292754896,1.0,392.535,0.26386204793430024,0.1960895566806872,17.0,205.126,0.26751784504859744,0.16971059877028313
S0007,0,0,0,1,0,1,0,0,0,0,32.0,430.68,1.0,0.14602313560726488,18.0,308.342,0.03855990893524708,0.0293783273104357,16.0,430.68,0.07755220456514639,0.011670279660584289,17.0,305.19,0.00887553394885724,0.00670447821918202,1.0,430.68,0.015176176938180132,0.004260688464010922
S0008,0,0,0,1,0,0,0,0,0,0,2.0,27.364,0.8010171646535279,0.38739150985626136,18.0,18.642,1.0,0.28982028629014495,28.0,-60.029,0.336935791481246,0.2819907610324483,17.0,18.642,0.32358550540368713,0.09669228952209721,32.0,27.364,0.11633820724729811,0.06685915509326656
S0009,0,0,0,0,0,1,0,0,0,0,18.0,155.337,0.8973594195016531,0.4705056424418428,32.0,460.019,1.0,0.43192624371035204,28.0,43.129,0.17536698582626128,0.1323492044329738,17.0,152.144,0.22512458673841798,0.11476531321584697,1.0,504.556,0.10798948538497156,0.07810773755442635
S0010,0,0,0,1,0,0,0,0,1,0,18.0,384.31,0.9999999999999999,0.2825101281553596,64.0,867.729,0.4526463679964102,0.20354865839492958,48.0,867.729,0.44065154030178744,0.19720463878990857,32.0,867.729,0.39540289538105505,0.17654818977768244,17.0,384.31,0.2799029141590028,0.07938918443694053
S0011,0,0,0,0,0,0,1,0,0,0,18.0,511.202,1.0,0.7393533750168897,44.0,346.468,0.6419299935277674,0.3125641558058505,32.0,508.083,0.31960820589659505,0.2580277825811172,17.0,514.387,0.2660930894736738,0.19600121565525042,28.0,654.662,0.20670223560083625,0.13835854059371208
S0012,0,0,1,1,0,0,1,0,0,0,18.0,115.205,0.9999999999999999,0.3817356830325604,32.0,252.814,0.9390110997929785,0.266393146265653,17.0,115.205,0.23547873915080975,0.0907003566966404,28.0,259.238,0.13182277562113512,0.06460067473154996,16.0,252.814,0.13567354402839102,0.041181572284027045
S0013,0,0,0,0,0,1,0,0,0,1,18.0,176.557,1.0,0.4621265490626222,32.0,441.305,0.4133899937120537,0.2206695434294571,17.0,176.557,0.23852580431706333,0.11131377210450559,64.0,526.636,0.13863242974772313,0.04174983606047657,48.0,526.636,0.10878558126213878,0.03343306086742048
