sample_id,split,instrument_type,features_path,features_md5_hash
S0000,train,commercial,train_features/S0000.csv,017b9a71a702e81a828e6242aa15f049
S0001,train,commercial,train_features/S0001.csv,0d09840214054d254bd49436c6a6f315
S0002,train,commercial,train_features/S0002.csv,3f58b3c9b001bfed6ed4e4f757083e09
S0003,train,commercial,train_features/S0003.csv,e9a12f96114a2fda60b36f4c0f513fb1
S0004,train,commercial,train_features/S0004.csv,b67603d3931897bfa796ac42cc16de78
S0005,train,commercial,train_features/S0005.csv,284487f9c43263e4c5a8ca04a0f4b8d8
S0006,train,commercial,train_features/S0006.csv,af79f0aa812908eb82f43d71462cc71e
S0007,train,commercial,train_features/S0007.csv,09f5325dd9d2a3b08d71c192a03a4db8
S0008,train,commercial,train_features/S0008.csv,335546d46997611784f504431753d94f
S0009,train,commercial,train_features/S0009.csv,24d74c12eb1486c9fcd90d27e15abbdf
S0010,train,commercial,train_features/S0010.csv,5500130ac434482495afe20c6d2a9c2a
S0011,train,commercial,train_features/S0011.csv,d365a7841b9d03bbba995758ba23632a
S0012,train,commercial,train_features/S0012.csv,749a651b924763824c1a4b8ec12e11df
S0013,train,commercial,train_features/S0013.csv,f3e1141bf10b06a54e20be8568e9436f
S0014,train,commercial,train_features/S0014.csv,97f538b91578bd0d745a8ee4fc7040ff
S0015,train,commercial,train_features/S0015.csv,ead372906f64de55ab0fd6a3a6dc0ea6
S0016,train,commercial,train_features/S0016.csv,d1cad5b055cae0eff6a5814d22c0dddd
S0017,train,commercial,train_features/S0017.csv,2539795ed1cc3585eef3f01d80e43902
S0018,train,commercial,train_features/S0018.csv,66990476660f0557c0123d2aec790b46
S0019,train,commercial,train_features/S0019.csv,06bddbc1902d4ef7740d2809321a58e0
S0020,train,commercial,train_features/S0020.csv,a948b9a2e504163d8e9df013d3878983
S0021,train,commercial,train_features/S0021.csv,cf1b38152ad5db8d2670bef051fff418
S0022,train,commercial,train_features/S0022.csv,affa7997a765748bd0f11c80ac990c1b
S0023,train,commercial,train_features/S0023.csv,6a89b5c046c397aee268065f3bf19b2b
S0024,train,commercial,train_features/S0024.csv,c49de784b1d54418436417d8c4f8066a
S0025,train,commercial,train_features/S0025.csv,51b4c96cf02b9a743967a47bfb801a88
S0026,train,commercial,train_features/S0026.csv,273195f25f2bca97e57a957c33922ebe
S0027,train,commercial,train_features/S0027.csv,c1778b7d37a33a4d1696e727d5c90ced
S0028,train,commercial,train_features/S0028.csv,43ec4485e2344a129f8289c98bb1048d
S0029,train,commercial,train_features/S0029.csv,b221651f258f9492599ef09b63c7da86
S0030,train,commercial,train_features/S0030.csv,3f109222fc2eaf306367a34928b7d29e
S0031,train,commercial,train_features/S0031.csv,1e869e94ca27de865ec31a0844076948
S0032,train,commercial,train_features/S0032.csv,698e2c423e843cda092bb212d329ac73
S0033,train,commercial,train_features/S0033.csv,bd32477bb2f0c5b41d2f5c7241b0bbd2
S0034,train,commercial,train_features/S0034.csv,272f3648337f982403f9985740b57b2d
S0035,train,commercial,train_features/S0035.csv,bc01a5bb00a3c7027bb42b71709ec445
S0036,train,commercial,train_features/S0036.csv,6a7bb14137cb8f3ffb33b50404bc53d7
S0037,train,commercial,train_features/S0037.csv,e11821ba70ec6d8ec38e8fcba982f10e
S0038,train,commercial,train_features/S0038.csv,e51c56d9a600a119512f96da8b8e4d5b
