sample_id,split,instrument_type,carrier_gas,different_pressure,features_path,features_md5_hash
X0000,supplemental,commercial,he,0,supplemental_features/X0000.csv,415d9be2aaa9151551ec2ce94aac3236
X0001,supplemental,commercial,he,0,supplemental_features/X0001.csv,4d0fb1f6f9b970c2a21280b64e146148
X0002,supplemental,commercial,he,0,supplemental_features/X0002.csv,4d8b44276eea5291de30f6764f67a5d3
X0003,supplemental,commercial,he,0,supplemental_features/X0003.csv,6c21bb6c254f38734ec7d9afd5146099
X0004,supplemental,commercial,he,0,supplemental_features/X0004.csv,b8c549be189f6cb14f6afa60d9b9b105
X0005,supplemental,commercial,he,0,supplemental_features/X0005.csv,128241af49a17be7c39dc45917fa9798
X0006,supplemental,commercial,he,0,supplemental_features/X0006.csv,c59885c796738a573c18cb785c75491a
X0007,supplemental,commercial,he,0,supplemental_features/X0007.csv,bf13f588110a847bcfce566cf3a5060d
X0008,supplemental,commercial,he,0,supplemental_features/X0008.csv,e77fbbd3fa104d246e16d47b1500e423
X0009,supplemental,commercial,he,0,supplemental_features/X0009.csv,48e553ec8f0d5183e2ef4d6249e503af
X0010,supplemental,commercial,he,0,supplemental_features/X0010.csv,6fbec8171b41006b3be0690c04b1eb80
X0011,supplemental,commercial,he,0,supplemental_features/X0011.csv,a3bcdfc401774ded754e300d3725d4ed
X0012,supplemental,commercial,he,0,supplemental_features/X0012.csv,ed515e753a12b21baf457aeff4b2517a
X0013,supplemental,commercial,he,0,supplemental_features/X0013.csv,424413dcf9319ae99a3a54266ac08335
X0014,supplemental,commercial,he,0,supplemental_features/X0014.csv,86dd0ddef9c3798a29410339ab7ba0c1
X0015,supplemental,commercial,he,0,supplemental_features/X0015.csv,e2b256af996663f8d3df45ddfa22dc4d
X0016,supplemental,commercial,he,0,supplemental_features/X0016.csv,390de98387db32603085af7e59e97d32
X0017,supplemental,commercial,he,0,supplemental_features/X0017.csv,334f119be72aea871e46c995c261bb43
X0018,supplemental,commercial,he,0,supplemental_features/X0018.csv,79dbc88a04337b5370def68d3f72c115
