sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0000,0,0,0,0,0,0,0,0,1,0
S0001,0,1,0,0,0,0,0,0,0,0
S0002,0,0,0,0,0,1,0,0,0,0
S0003,0,1,0,1,0,0,0,0,1,0
S0004,0,0,0,1,0,1,1,0,0,0
S0005,0,0,0,0,1,0,0,0,0,0
S0006,0,0,1,0,0,0,1,0,0,0
S0007,0,0,0,1,0,1,0,0,0,0
S0008,0,0,0,1,0,0,0,0,0,0
S0009,0,0,0,0,0,1,0,0,0,0
S0010,0,0,0,1,0,0,0,0,1,0
S0011,0,0,0,0,0,0,1,0,0,0
S0012,0,0,1,1,0,0,1,0,0,0
S0013,0,0,0,0,0,1,0,0,0,1
S0014,0,0,1,1,0,0,1,0,0,0
S0015,0,0,0,1,0,0,0,0,0,0
S0016,1,1,0,1,0,1,1,1,1,0
S0017,0,0,0,0,0,0,0,0,0,0
S0018,0,0,0,0,0,0,1,0,0,0
S0019,0,0,0,1,0,0,0,0,1,1
S0020,0,0,0,0,1,0,0,0,0,0
S0021,1,0,0,0,0,0,0,0,0,0
S0022,0,0,1,0,0,0,0,0,0,0
S0023,0,0,1,1,0,0,1,0,0,0
S0024,0,0,0,0,0,1,0,0,0,0
S0025,0,1,0,0,0,0,0,0,0,0
S0026,1,1,0,1,0,1,1,1,1,0
S0027,0,0,0,0,0,0,0,0,0,0
S0028,1,0,0,0,0,0,0,0,0,0
S0029,0,0,1,1,0,0,1,0,0,0
S0030,1,0,0,0,0,0,0,0,0,0
S0031,0,0,0,0,0,0,0,1,0,0
S0032,0,0,0,0,0,0,0,1,0,0
S0033,0,0,0,0,0,0,0,0,1,0
S0034,0,0,0,0,0,1,1,0,0,0
S0035,1,0,0,0,0,0,0,0,0,0
S0036,0,0,0,0,0,0,0,0,1,0
S0037,0,0,0,0,0,1,0,0,0,0
S0038,0,0,0,0,0,0,1,0,0,0
S0039,0,0,1,0,0,0,0,0,0,0
S0040,0,0,0,0,0,0,0,0,0,1
S0041,0,0,0,0,0,0,0,0,0,0
S0042,0,0,1,0,0,0,0,0,0,0
S0043,0,0,0,0,0,1,0,0,0,0
S0044,0,0,0,1,0,0,0,0,1,1
S0045,1,0,0,0,0,0,0,0,0,0
S0046,0,0,1,0,0,0,0,0,0,0
S0047,0,0,0,0,0,0,1,0,0,0
S0048,0,0,0,0,0,0,1,0,0,0
S0049,0,0,0,0,0,0,0,0,0,0
S0050,0,0,1,1,0,0,1,0,0,0
S0051,0,0,0,1,0,1,0,0,0,0
S0052,0,0,0,0,0,0,0,0,1,0
S0053,0,0,0,0,0,0,1,0,0,0
S0054,0,0,0,0,0,1,1,0,0,0
